 top-left-square, top-middle-square, top-right-square, middle-left-square, middle-middle-square, middle-right-square, bottom-left-square, bottom-middle-square, bottom-right-square, Class,,
x,x,x,b,o,x,o,o,b,TRUE,,
x,x,x,b,o,x,o,b,o,TRUE,,
x,x,x,b,o,x,b,o,o,TRUE,,
x,x,x,b,o,o,x,o,b,TRUE,,
x,x,x,b,o,o,x,b,o,TRUE,,
x,x,x,b,o,o,o,x,b,TRUE,,
x,x,x,b,o,o,o,b,x,TRUE,,
x,x,x,b,o,o,b,x,o,TRUE,,
x,x,x,b,o,o,b,o,x,TRUE,,
x,x,x,b,o,o,b,b,b,TRUE,,
x,x,x,b,o,b,x,o,o,TRUE,,
x,x,x,b,o,b,o,x,o,TRUE,,
x,x,x,b,o,b,o,o,x,TRUE,,
x,x,x,b,o,b,o,b,b,TRUE,,
x,x,x,b,o,b,b,o,b,TRUE,,
x,x,x,b,o,b,b,b,o,TRUE,,
x,x,x,b,b,o,x,o,o,TRUE,,
x,x,x,b,b,o,o,x,o,TRUE,,
x,x,x,b,b,o,o,o,x,TRUE,,
x,x,x,b,b,o,o,b,b,TRUE,,
x,x,x,b,b,o,b,o,b,TRUE,,
x,x,x,b,b,o,b,b,o,TRUE,,
x,x,x,b,b,b,o,o,b,TRUE,,
x,x,x,b,b,b,o,b,o,TRUE,,
x,x,x,b,b,b,b,o,o,TRUE,,
x,x,o,x,x,o,o,o,x,TRUE,,
x,x,o,x,o,x,x,o,o,TRUE,,
x,x,o,x,o,o,x,o,x,TRUE,,
x,x,o,x,o,o,x,b,b,TRUE,,
x,x,o,x,o,b,x,o,b,TRUE,,
x,x,o,x,o,b,x,b,o,TRUE,,
x,x,o,x,b,o,x,o,b,TRUE,,
x,x,o,x,b,b,x,o,o,TRUE,,
x,x,o,o,x,x,o,x,o,TRUE,,
x,x,o,o,x,x,o,o,x,TRUE,,
x,x,o,o,x,o,x,o,x,TRUE,,
x,x,o,o,x,o,o,x,x,TRUE,,
x,x,o,o,x,o,b,x,b,TRUE,,
x,x,o,o,x,o,b,b,x,TRUE,,
x,x,o,o,x,b,o,x,b,TRUE,,
x,x,o,o,x,b,o,b,x,TRUE,,
x,x,o,o,x,b,b,x,o,TRUE,,
x,x,o,o,x,b,b,o,x,TRUE,,
x,x,o,b,x,o,o,x,b,TRUE,,
x,x,o,b,x,o,o,b,x,TRUE,,
x,x,o,b,x,o,b,o,x,TRUE,,
x,x,o,b,x,b,o,x,o,TRUE,,
x,x,o,b,x,b,o,o,x,TRUE,,
x,x,b,x,o,o,x,o,b,TRUE,,
x,x,b,x,o,o,x,b,o,TRUE,,
x,x,b,x,o,b,x,o,o,TRUE,,
x,x,b,x,b,o,x,o,o,TRUE,,
x,x,b,o,x,o,o,x,b,TRUE,,
x,x,b,o,x,o,o,b,x,TRUE,,
x,x,b,o,x,o,b,x,o,TRUE,,
x,x,b,o,x,o,b,o,x,TRUE,,
x,x,b,o,x,b,o,x,o,TRUE,,
x,x,b,o,x,b,o,o,x,TRUE,,
x,x,b,b,x,o,o,x,o,TRUE,,
x,x,b,b,x,o,o,o,x,TRUE,,
x,o,x,x,x,o,x,o,o,TRUE,,
x,o,x,x,x,o,o,o,x,TRUE,,
x,o,x,x,o,o,x,x,o,TRUE,,
x,o,x,x,o,o,x,b,b,TRUE,,
x,o,x,x,o,b,x,b,o,TRUE,,
x,o,x,x,b,o,x,o,b,TRUE,,
x,o,x,x,b,o,x,b,o,TRUE,,
x,o,x,x,b,b,x,o,o,TRUE,,
x,o,x,o,x,x,x,o,o,TRUE,,
x,o,x,o,x,x,o,o,x,TRUE,,
x,o,x,o,x,o,x,x,o,TRUE,,
x,o,x,o,x,o,x,o,x,TRUE,,
x,o,x,o,x,o,x,b,b,TRUE,,
x,o,x,o,x,o,o,x,x,TRUE,,
x,o,x,o,x,o,b,b,x,TRUE,,
x,o,x,o,x,b,x,o,b,TRUE,,
x,o,x,o,x,b,x,b,o,TRUE,,
x,o,x,o,x,b,o,b,x,TRUE,,
x,o,x,o,x,b,b,o,x,TRUE,,
x,o,x,o,o,x,o,x,x,TRUE,,
x,o,x,o,o,x,b,b,x,TRUE,,
x,o,x,o,b,x,o,b,x,TRUE,,
x,o,x,o,b,x,b,o,x,TRUE,,
x,o,x,b,x,o,x,o,b,TRUE,,
x,o,x,b,x,o,x,b,o,TRUE,,
x,o,x,b,x,o,o,b,x,TRUE,,
x,o,x,b,x,o,b,o,x,TRUE,,
x,o,x,b,x,b,x,o,o,TRUE,,
x,o,x,b,x,b,o,o,x,TRUE,,
x,o,x,b,o,x,o,b,x,TRUE,,
x,o,x,b,b,x,o,o,x,TRUE,,
x,o,o,x,x,x,x,o,o,TRUE,,
x,o,o,x,x,x,o,x,o,TRUE,,
x,o,o,x,x,x,o,o,x,TRUE,,
x,o,o,x,x,x,o,b,b,TRUE,,
x,o,o,x,x,x,b,o,b,TRUE,,
x,o,o,x,x,x,b,b,o,TRUE,,
x,o,o,x,x,o,x,o,x,TRUE,,
x,o,o,x,x,o,x,b,b,TRUE,,
x,o,o,x,x,o,o,x,x,TRUE,,
x,o,o,x,x,o,b,b,x,TRUE,,
x,o,o,x,x,b,x,o,b,TRUE,,
x,o,o,x,x,b,x,b,o,TRUE,,
x,o,o,x,x,b,o,b,x,TRUE,,
x,o,o,x,x,b,b,o,x,TRUE,,
x,o,o,x,o,x,x,x,o,TRUE,,
x,o,o,x,o,x,x,b,b,TRUE,,
x,o,o,x,o,o,x,x,x,TRUE,,
x,o,o,x,o,b,x,x,b,TRUE,,
x,o,o,x,o,b,x,b,x,TRUE,,
x,o,o,x,b,x,x,o,b,TRUE,,
x,o,o,x,b,x,x,b,o,TRUE,,
x,o,o,x,b,o,x,x,b,TRUE,,
x,o,o,x,b,o,x,b,x,TRUE,,
x,o,o,x,b,b,x,x,o,TRUE,,
x,o,o,x,b,b,x,o,x,TRUE,,
x,o,o,x,b,b,x,b,b,TRUE,,
x,o,o,o,x,x,x,o,x,TRUE,,
x,o,o,o,x,x,o,x,x,TRUE,,
x,o,o,o,x,x,b,b,x,TRUE,,
x,o,o,o,x,o,x,x,x,TRUE,,
x,o,o,o,x,b,x,b,x,TRUE,,
x,o,o,o,x,b,b,x,x,TRUE,,
x,o,o,o,o,x,x,x,x,TRUE,,
x,o,o,o,b,b,x,x,x,TRUE,,
x,o,o,b,x,x,o,b,x,TRUE,,
x,o,o,b,x,x,b,o,x,TRUE,,
x,o,o,b,x,o,x,b,x,TRUE,,
x,o,o,b,x,o,b,x,x,TRUE,,
x,o,o,b,x,b,x,o,x,TRUE,,
x,o,o,b,x,b,o,x,x,TRUE,,
x,o,o,b,x,b,b,b,x,TRUE,,
x,o,o,b,o,b,x,x,x,TRUE,,
x,o,o,b,b,o,x,x,x,TRUE,,
x,o,b,x,x,x,o,o,b,TRUE,,
x,o,b,x,x,x,o,b,o,TRUE,,
x,o,b,x,x,x,b,o,o,TRUE,,
x,o,b,x,x,o,x,o,b,TRUE,,
x,o,b,x,x,o,x,b,o,TRUE,,
x,o,b,x,x,o,o,b,x,TRUE,,
x,o,b,x,x,o,b,o,x,TRUE,,
x,o,b,x,x,b,x,o,o,TRUE,,
x,o,b,x,x,b,o,o,x,TRUE,,
x,o,b,x,o,x,x,b,o,TRUE,,
x,o,b,x,o,o,x,x,b,TRUE,,
x,o,b,x,o,o,x,b,x,TRUE,,
x,o,b,x,o,b,x,x,o,TRUE,,
x,o,b,x,o,b,x,b,b,TRUE,,
x,o,b,x,b,x,x,o,o,TRUE,,
x,o,b,x,b,o,x,x,o,TRUE,,
x,o,b,x,b,o,x,o,x,TRUE,,
x,o,b,x,b,o,x,b,b,TRUE,,
x,o,b,x,b,b,x,o,b,TRUE,,
x,o,b,x,b,b,x,b,o,TRUE,,
x,o,b,o,x,x,o,b,x,TRUE,,
x,o,b,o,x,x,b,o,x,TRUE,,
x,o,b,o,x,o,x,b,x,TRUE,,
x,o,b,o,x,o,b,x,x,TRUE,,
x,o,b,o,x,b,x,o,x,TRUE,,
x,o,b,o,x,b,o,x,x,TRUE,,
x,o,b,o,x,b,b,b,x,TRUE,,
x,o,b,o,o,b,x,x,x,TRUE,,
x,o,b,o,b,o,x,x,x,TRUE,,
x,o,b,b,x,x,o,o,x,TRUE,,
x,o,b,b,x,o,x,o,x,TRUE,,
x,o,b,b,x,o,o,x,x,TRUE,,
x,o,b,b,x,o,b,b,x,TRUE,,
x,o,b,b,x,b,o,b,x,TRUE,,
x,o,b,b,x,b,b,o,x,TRUE,,
x,o,b,b,o,o,x,x,x,TRUE,,
x,b,x,x,o,o,x,o,b,TRUE,,
x,b,x,x,o,o,x,b,o,TRUE,,
x,b,x,x,o,b,x,o,o,TRUE,,
x,b,x,x,b,o,x,o,o,TRUE,,
x,b,x,o,x,o,x,o,b,TRUE,,
x,b,x,o,x,o,x,b,o,TRUE,,
x,b,x,o,x,o,o,b,x,TRUE,,
x,b,x,o,x,o,b,o,x,TRUE,,
x,b,x,o,x,b,x,o,o,TRUE,,
x,b,x,o,x,b,o,o,x,TRUE,,
x,b,x,o,o,x,o,b,x,TRUE,,
x,b,x,o,o,x,b,o,x,TRUE,,
x,b,x,o,b,x,o,o,x,TRUE,,
x,b,x,b,x,o,x,o,o,TRUE,,
x,b,x,b,x,o,o,o,x,TRUE,,
x,b,x,b,o,x,o,o,x,TRUE,,
x,b,o,x,x,x,o,o,b,TRUE,,
x,b,o,x,x,x,o,b,o,TRUE,,
x,b,o,x,x,x,b,o,o,TRUE,,
x,b,o,x,x,o,x,o,b,TRUE,,
x,b,o,x,x,o,o,b,x,TRUE,,
x,b,o,x,x,o,b,o,x,TRUE,,
x,b,o,x,x,b,x,o,o,TRUE,,
x,b,o,x,x,b,o,o,x,TRUE,,
x,b,o,x,o,x,x,o,b,TRUE,,
x,b,o,x,o,x,x,b,o,TRUE,,
x,b,o,x,o,o,x,x,b,TRUE,,
x,b,o,x,o,o,x,b,x,TRUE,,
x,b,o,x,o,b,x,x,o,TRUE,,
x,b,o,x,o,b,x,o,x,TRUE,,
x,b,o,x,o,b,x,b,b,TRUE,,
x,b,o,x,b,x,x,o,o,TRUE,,
x,b,o,x,b,o,x,o,x,TRUE,,
x,b,o,x,b,o,x,b,b,TRUE,,
x,b,o,x,b,b,x,o,b,TRUE,,
x,b,o,x,b,b,x,b,o,TRUE,,
x,b,o,o,x,x,o,b,x,TRUE,,
x,b,o,o,x,x,b,o,x,TRUE,,
x,b,o,o,x,o,x,b,x,TRUE,,
x,b,o,o,x,o,b,x,x,TRUE,,
x,b,o,o,x,b,x,o,x,TRUE,,
x,b,o,o,x,b,o,x,x,TRUE,,
x,b,o,o,x,b,b,b,x,TRUE,,
x,b,o,o,o,b,x,x,x,TRUE,,
x,b,o,o,b,o,x,x,x,TRUE,,
x,b,o,b,x,x,o,o,x,TRUE,,
x,b,o,b,x,o,x,o,x,TRUE,,
x,b,o,b,x,o,o,x,x,TRUE,,
x,b,o,b,x,o,b,b,x,TRUE,,
x,b,o,b,x,b,o,b,x,TRUE,,
x,b,o,b,x,b,b,o,x,TRUE,,
x,b,o,b,o,o,x,x,x,TRUE,,
x,b,b,x,x,o,x,o,o,TRUE,,
x,b,b,x,x,o,o,o,x,TRUE,,
x,b,b,x,o,x,x,o,o,TRUE,,
x,b,b,x,o,o,x,x,o,TRUE,,
x,b,b,x,o,o,x,o,x,TRUE,,
x,b,b,x,o,o,x,b,b,TRUE,,
x,b,b,x,o,b,x,o,b,TRUE,,
x,b,b,x,o,b,x,b,o,TRUE,,
x,b,b,x,b,o,x,o,b,TRUE,,
x,b,b,x,b,o,x,b,o,TRUE,,
x,b,b,x,b,b,x,o,o,TRUE,,
x,b,b,o,x,x,o,o,x,TRUE,,
x,b,b,o,x,o,x,o,x,TRUE,,
x,b,b,o,x,o,o,x,x,TRUE,,
x,b,b,o,x,o,b,b,x,TRUE,,
x,b,b,o,x,b,o,b,x,TRUE,,
x,b,b,o,x,b,b,o,x,TRUE,,
x,b,b,b,x,o,o,b,x,TRUE,,
x,b,b,b,x,o,b,o,x,TRUE,,
x,b,b,b,x,b,o,o,x,TRUE,,
o,x,x,x,x,o,x,o,o,TRUE,,
o,x,x,x,x,o,o,x,o,TRUE,,
o,x,x,x,o,x,o,o,x,TRUE,,
o,x,x,o,x,x,x,o,o,TRUE,,
o,x,x,o,x,o,x,x,o,TRUE,,
o,x,x,o,x,o,x,o,x,TRUE,,
o,x,x,o,x,o,x,b,b,TRUE,,
o,x,x,o,x,o,b,x,b,TRUE,,
o,x,x,o,x,b,x,o,b,TRUE,,
o,x,x,o,x,b,x,b,o,TRUE,,
o,x,x,o,x,b,b,x,o,TRUE,,
o,x,x,o,o,x,x,o,x,TRUE,,
o,x,x,o,o,x,b,b,x,TRUE,,
o,x,x,o,b,x,b,o,x,TRUE,,
o,x,x,b,x,o,x,o,b,TRUE,,
o,x,x,b,x,o,x,b,o,TRUE,,
o,x,x,b,x,o,o,x,b,TRUE,,
o,x,x,b,x,o,b,x,o,TRUE,,
o,x,x,b,x,b,x,o,o,TRUE,,
o,x,x,b,x,b,o,x,o,TRUE,,
o,x,x,b,o,x,o,b,x,TRUE,,
o,x,x,b,o,x,b,o,x,TRUE,,
o,x,x,b,b,x,o,o,x,TRUE,,
o,x,o,x,x,x,x,o,o,TRUE,,
o,x,o,x,x,x,o,x,o,TRUE,,
o,x,o,x,x,x,o,o,x,TRUE,,
o,x,o,x,x,x,o,b,b,TRUE,,
o,x,o,x,x,x,b,o,b,TRUE,,
o,x,o,x,x,x,b,b,o,TRUE,,
o,x,o,x,x,o,o,x,x,TRUE,,
o,x,o,x,x,o,b,x,b,TRUE,,
o,x,o,x,x,b,o,x,b,TRUE,,
o,x,o,x,x,b,b,x,o,TRUE,,
o,x,o,x,o,o,x,x,x,TRUE,,
o,x,o,o,x,x,x,x,o,TRUE,,
o,x,o,o,x,x,b,x,b,TRUE,,
o,x,o,o,x,o,x,x,x,TRUE,,
o,x,o,o,x,b,x,x,b,TRUE,,
o,x,o,o,x,b,b,x,x,TRUE,,
o,x,o,o,o,x,x,x,x,TRUE,,
o,x,o,o,b,b,x,x,x,TRUE,,
o,x,o,b,x,x,o,x,b,TRUE,,
o,x,o,b,x,x,b,x,o,TRUE,,
o,x,o,b,x,o,x,x,b,TRUE,,
o,x,o,b,x,o,b,x,x,TRUE,,
o,x,o,b,x,b,x,x,o,TRUE,,
o,x,o,b,x,b,o,x,x,TRUE,,
o,x,o,b,x,b,b,x,b,TRUE,,
o,x,o,b,o,b,x,x,x,TRUE,,
o,x,o,b,b,o,x,x,x,TRUE,,
o,x,b,x,x,x,o,o,b,TRUE,,
o,x,b,x,x,x,o,b,o,TRUE,,
o,x,b,x,x,x,b,o,o,TRUE,,
o,x,b,x,x,o,o,x,b,TRUE,,
o,x,b,x,x,o,b,x,o,TRUE,,
o,x,b,x,x,b,o,x,o,TRUE,,
o,x,b,o,x,x,b,x,o,TRUE,,
o,x,b,o,x,o,x,x,b,TRUE,,
o,x,b,o,x,o,b,x,x,TRUE,,
o,x,b,o,x,b,x,x,o,TRUE,,
o,x,b,o,x,b,b,x,b,TRUE,,
o,x,b,o,o,b,x,x,x,TRUE,,
o,x,b,o,b,o,x,x,x,TRUE,,
o,x,b,b,x,x,o,x,o,TRUE,,
o,x,b,b,x,o,x,x,o,TRUE,,
o,x,b,b,x,o,o,x,x,TRUE,,
o,x,b,b,x,o,b,x,b,TRUE,,
o,x,b,b,x,b,o,x,b,TRUE,,
o,x,b,b,x,b,b,x,o,TRUE,,
o,x,b,b,o,o,x,x,x,TRUE,,
o,o,x,x,x,x,x,o,o,TRUE,,
o,o,x,x,x,x,o,x,o,TRUE,,
o,o,x,x,x,x,o,o,x,TRUE,,
o,o,x,x,x,x,o,b,b,TRUE,,
o,o,x,x,x,x,b,o,b,TRUE,,
o,o,x,x,x,x,b,b,o,TRUE,,
o,o,x,x,x,o,x,x,o,TRUE,,
o,o,x,x,x,o,x,o,x,TRUE,,
o,o,x,x,x,o,x,b,b,TRUE,,
o,o,x,x,x,b,x,o,b,TRUE,,
o,o,x,x,x,b,x,b,o,TRUE,,
o,o,x,x,o,x,o,x,x,TRUE,,
o,o,x,x,o,x,b,b,x,TRUE,,
o,o,x,x,o,o,x,x,x,TRUE,,
o,o,x,x,b,x,o,b,x,TRUE,,
o,o,x,x,b,x,b,o,x,TRUE,,
o,o,x,o,x,x,x,x,o,TRUE,,
o,o,x,o,x,x,x,o,x,TRUE,,
o,o,x,o,x,x,x,b,b,TRUE,,
o,o,x,o,x,x,b,b,x,TRUE,,
o,o,x,o,x,o,x,x,x,TRUE,,
o,o,x,o,x,b,x,x,b,TRUE,,
o,o,x,o,x,b,x,b,x,TRUE,,
o,o,x,o,o,x,x,x,x,TRUE,,
o,o,x,o,b,x,x,b,x,TRUE,,
o,o,x,o,b,x,b,x,x,TRUE,,
o,o,x,o,b,b,x,x,x,TRUE,,
o,o,x,b,x,x,x,o,b,TRUE,,
o,o,x,b,x,x,x,b,o,TRUE,,
o,o,x,b,x,x,o,b,x,TRUE,,
o,o,x,b,x,x,b,o,x,TRUE,,
o,o,x,b,x,o,x,x,b,TRUE,,
o,o,x,b,x,o,x,b,x,TRUE,,
o,o,x,b,x,b,x,x,o,TRUE,,
o,o,x,b,x,b,x,o,x,TRUE,,
o,o,x,b,x,b,x,b,b,TRUE,,
o,o,x,b,o,x,x,b,x,TRUE,,
o,o,x,b,o,x,b,x,x,TRUE,,
o,o,x,b,o,b,x,x,x,TRUE,,
o,o,x,b,b,x,x,o,x,TRUE,,
o,o,x,b,b,x,o,x,x,TRUE,,
o,o,x,b,b,x,b,b,x,TRUE,,
o,o,x,b,b,o,x,x,x,TRUE,,
o,o,b,x,x,x,x,o,b,TRUE,,
o,o,b,x,x,x,x,b,o,TRUE,,
o,o,b,x,x,x,o,x,b,TRUE,,
o,o,b,x,x,x,o,b,x,TRUE,,
o,o,b,x,x,x,b,x,o,TRUE,,
o,o,b,x,x,x,b,o,x,TRUE,,
o,o,b,x,x,x,b,b,b,TRUE,,
o,o,b,x,o,b,x,x,x,TRUE,,
o,o,b,x,b,o,x,x,x,TRUE,,
o,o,b,o,x,b,x,x,x,TRUE,,
o,o,b,o,b,x,x,x,x,TRUE,,
o,o,b,b,x,o,x,x,x,TRUE,,
o,o,b,b,o,x,x,x,x,TRUE,,
o,o,b,b,b,b,x,x,x,TRUE,,
o,b,x,x,x,x,o,o,b,TRUE,,
o,b,x,x,x,x,o,b,o,TRUE,,
o,b,x,x,x,x,b,o,o,TRUE,,
o,b,x,x,x,o,x,o,b,TRUE,,
o,b,x,x,x,o,x,b,o,TRUE,,
o,b,x,x,x,b,x,o,o,TRUE,,
o,b,x,x,o,x,o,b,x,TRUE,,
o,b,x,x,o,x,b,o,x,TRUE,,
o,b,x,x,b,x,o,o,x,TRUE,,
o,b,x,o,x,x,x,o,b,TRUE,,
o,b,x,o,x,x,x,b,o,TRUE,,
o,b,x,o,x,x,b,o,x,TRUE,,
o,b,x,o,x,o,x,x,b,TRUE,,
o,b,x,o,x,o,x,b,x,TRUE,,
o,b,x,o,x,b,x,x,o,TRUE,,
o,b,x,o,x,b,x,o,x,TRUE,,
o,b,x,o,x,b,x,b,b,TRUE,,
o,b,x,o,o,x,x,b,x,TRUE,,
o,b,x,o,o,x,b,x,x,TRUE,,
o,b,x,o,o,b,x,x,x,TRUE,,
o,b,x,o,b,x,x,o,x,TRUE,,
o,b,x,o,b,x,b,b,x,TRUE,,
o,b,x,o,b,o,x,x,x,TRUE,,
o,b,x,b,x,x,x,o,o,TRUE,,
o,b,x,b,x,x,o,o,x,TRUE,,
o,b,x,b,x,o,x,x,o,TRUE,,
o,b,x,b,x,o,x,o,x,TRUE,,
o,b,x,b,x,o,x,b,b,TRUE,,
o,b,x,b,x,b,x,o,b,TRUE,,
o,b,x,b,x,b,x,b,o,TRUE,,
o,b,x,b,o,x,x,o,x,TRUE,,
o,b,x,b,o,x,o,x,x,TRUE,,
o,b,x,b,o,x,b,b,x,TRUE,,
o,b,x,b,o,o,x,x,x,TRUE,,
o,b,x,b,b,x,o,b,x,TRUE,,
o,b,x,b,b,x,b,o,x,TRUE,,
o,b,o,x,x,x,x,o,b,TRUE,,
o,b,o,x,x,x,x,b,o,TRUE,,
o,b,o,x,x,x,o,x,b,TRUE,,
o,b,o,x,x,x,o,b,x,TRUE,,
o,b,o,x,x,x,b,x,o,TRUE,,
o,b,o,x,x,x,b,o,x,TRUE,,
o,b,o,x,x,x,b,b,b,TRUE,,
o,b,o,x,o,b,x,x,x,TRUE,,
o,b,o,x,b,o,x,x,x,TRUE,,
o,b,o,o,x,b,x,x,x,TRUE,,
o,b,o,o,b,x,x,x,x,TRUE,,
o,b,o,b,x,o,x,x,x,TRUE,,
o,b,o,b,o,x,x,x,x,TRUE,,
o,b,o,b,b,b,x,x,x,TRUE,,
o,b,b,x,x,x,x,o,o,TRUE,,
o,b,b,x,x,x,o,x,o,TRUE,,
o,b,b,x,x,x,o,o,x,TRUE,,
o,b,b,x,x,x,o,b,b,TRUE,,
o,b,b,x,x,x,b,o,b,TRUE,,
o,b,b,x,x,x,b,b,o,TRUE,,
o,b,b,x,o,o,x,x,x,TRUE,,
o,b,b,o,x,o,x,x,x,TRUE,,
o,b,b,o,o,x,x,x,x,TRUE,,
o,b,b,o,b,b,x,x,x,TRUE,,
o,b,b,b,o,b,x,x,x,TRUE,,
o,b,b,b,b,o,x,x,x,TRUE,,
b,x,x,o,x,o,x,o,b,TRUE,,
b,x,x,o,x,o,x,b,o,TRUE,,
b,x,x,o,x,o,o,x,b,TRUE,,
b,x,x,o,x,o,b,x,o,TRUE,,
b,x,x,o,x,b,x,o,o,TRUE,,
b,x,x,o,x,b,o,x,o,TRUE,,
b,x,x,o,o,x,o,b,x,TRUE,,
b,x,x,o,o,x,b,o,x,TRUE,,
b,x,x,o,b,x,o,o,x,TRUE,,
b,x,x,b,x,o,x,o,o,TRUE,,
b,x,x,b,x,o,o,x,o,TRUE,,
b,x,x,b,o,x,o,o,x,TRUE,,
b,x,o,x,x,x,o,o,b,TRUE,,
b,x,o,x,x,x,o,b,o,TRUE,,
b,x,o,x,x,x,b,o,o,TRUE,,
b,x,o,x,x,o,o,x,b,TRUE,,
b,x,o,x,x,b,o,x,o,TRUE,,
b,x,o,o,x,x,o,x,b,TRUE,,
b,x,o,o,x,x,b,x,o,TRUE,,
b,x,o,o,x,o,x,x,b,TRUE,,
b,x,o,o,x,o,b,x,x,TRUE,,
b,x,o,o,x,b,x,x,o,TRUE,,
b,x,o,o,x,b,o,x,x,TRUE,,
b,x,o,o,x,b,b,x,b,TRUE,,
b,x,o,o,o,b,x,x,x,TRUE,,
b,x,o,o,b,o,x,x,x,TRUE,,
b,x,o,b,x,x,o,x,o,TRUE,,
b,x,o,b,x,o,o,x,x,TRUE,,
b,x,o,b,x,o,b,x,b,TRUE,,
b,x,o,b,x,b,o,x,b,TRUE,,
b,x,o,b,x,b,b,x,o,TRUE,,
b,x,o,b,o,o,x,x,x,TRUE,,
b,x,b,x,x,o,o,x,o,TRUE,,
b,x,b,o,x,x,o,x,o,TRUE,,
b,x,b,o,x,o,x,x,o,TRUE,,
b,x,b,o,x,o,o,x,x,TRUE,,
b,x,b,o,x,o,b,x,b,TRUE,,
b,x,b,o,x,b,o,x,b,TRUE,,
b,x,b,o,x,b,b,x,o,TRUE,,
b,x,b,b,x,o,o,x,b,TRUE,,
b,x,b,b,x,o,b,x,o,TRUE,,
b,x,b,b,x,b,o,x,o,TRUE,,
b,o,x,x,x,x,o,o,b,TRUE,,
b,o,x,x,x,x,o,b,o,TRUE,,
b,o,x,x,x,x,b,o,o,TRUE,,
b,o,x,x,x,o,x,o,b,TRUE,,
b,o,x,x,x,o,x,b,o,TRUE,,
b,o,x,x,x,b,x,o,o,TRUE,,
b,o,x,x,o,x,o,b,x,TRUE,,
b,o,x,x,b,x,o,o,x,TRUE,,
b,o,x,o,x,x,x,o,b,TRUE,,
b,o,x,o,x,x,x,b,o,TRUE,,
b,o,x,o,x,x,o,b,x,TRUE,,
b,o,x,o,x,x,b,o,x,TRUE,,
b,o,x,o,x,o,x,x,b,TRUE,,
b,o,x,o,x,o,x,b,x,TRUE,,
b,o,x,o,x,b,x,x,o,TRUE,,
b,o,x,o,x,b,x,o,x,TRUE,,
b,o,x,o,x,b,x,b,b,TRUE,,
b,o,x,o,o,x,x,b,x,TRUE,,
b,o,x,o,o,x,b,x,x,TRUE,,
b,o,x,o,o,b,x,x,x,TRUE,,
b,o,x,o,b,x,x,o,x,TRUE,,
b,o,x,o,b,x,o,x,x,TRUE,,
b,o,x,o,b,x,b,b,x,TRUE,,
b,o,x,o,b,o,x,x,x,TRUE,,
b,o,x,b,x,x,x,o,o,TRUE,,
b,o,x,b,x,x,o,o,x,TRUE,,
b,o,x,b,x,o,x,x,o,TRUE,,
b,o,x,b,x,o,x,o,x,TRUE,,
