@RELATION dow_jones_index.data

@ATTRIBUTE ﻿quarter REAL
@ATTRIBUTE stock {AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,KRFT,MCD,MMM,MRK,MSFT,PFE,PG,T,TRV,UTX,VZ,WMT,XOM}
@ATTRIBUTE date {1/14/2011,1/21/2011,1/28/2011,1/7/2011,2/11/2011,2/18/2011,2/25/2011,2/4/2011,3/11/2011,3/18/2011,3/25/2011,3/4/2011,4/1/2011,4/15/2011,4/21/2011,4/29/2011,4/8/2011,5/13/2011,5/20/2011,5/27/2011,5/6/2011,6/10/2011,6/17/2011,6/24/2011,6/3/2011}
@ATTRIBUTE open REAL
@ATTRIBUTE high REAL
@ATTRIBUTE low REAL
@ATTRIBUTE close REAL
@ATTRIBUTE volume REAL
@ATTRIBUTE percent_change_price REAL
@ATTRIBUTE next_weeks_open REAL
@ATTRIBUTE next_weeks_close REAL
@ATTRIBUTE percent_change_next_weeks_price REAL
@ATTRIBUTE days_to_next_dividend REAL
@ATTRIBUTE percent_return_next_dividend {0.07,0.08,0.09,0.1,0.16,0.17,0.18,0.19,0.2,0.27,0.28,0.29,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.5,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1,1.01,1.02,1.03,1.04,1.05,1.06,1.07,1.09,1.1,1.11,1.12,1.13,1.15,1.16,1.17,1.18,1.19,1.27,1.29,1.3,1.31,1.32,1.33,1.34,1.35,1.36,1.37,1.38,1.39,1.4,1.41,1.42,1.49,1.51,1.52,1.53,1.54,1.56}

@DATA
1,AXP,2/18/2011,46.42,46.93,45.53,45.53,28564910,-1.91728,44.94,43.53,-3.13752,47,0.4
1,AXP,2/25/2011,44.94,45.12,43.01,43.53,39654146,-3.13752,43.73,43.72,-0.0228676,40,0.41
1,AXP,3/4/2011,43.73,44.68,42.75,43.72,38985037,-0.0228676,43.86,44.28,0.957592,33,0.41
1,AXP,3/11/2011,43.86,45.54,43.53,44.28,37613429,0.957592,43.86,44.17,0.706794,26,0.41
1,AXP,3/18/2011,43.86,44.47,42.19,44.17,41757526,0.706794,44.75,45.59,1.87709,19,0.41
1,AXP,3/25/2011,44.75,45.61,44.1,45.59,30798332,1.87709,45.54,45.36,-0.395257,12,0.39
1,BA,1/7/2011,66.15,70.1,66,69.38,36258120,4.88284,69.42,70.07,0.93633,33,0.61
1,BA,1/14/2011,69.42,70.5,68.35,70.07,18834664,0.93633,70.86,71.68,1.15721,26,0.6
1,BA,1/21/2011,70.86,72.99,70.23,71.68,29594221,1.15721,71.52,69.23,-3.2019,19,0.59
1,BA,1/28/2011,71.52,72.82,69,69.23,34929673,-3.2019,69.26,71.38,3.06093,12,0.61
1,BA,2/4/2011,69.26,71.64,69.12,71.38,22770062,3.06093,71.43,72.14,0.99398,5,0.59
1,BA,2/11/2011,71.43,72.99,71.15,72.14,21809411,0.99398,72.7,73.04,0.467675,89,0.58
1,BA,2/18/2011,72.7,73.04,71.09,73.04,15989248,0.467675,72.35,72.3,-0.0691085,82,0.58
1,BA,2/25/2011,72.35,74.29,70,72.3,26258425,-0.0691085,72.47,71.8,-0.92452,75,0.58
1,BA,3/4/2011,72.47,72.9,68.6,71.8,27527285,-0.92452,71.6,71.64,0.0558659,68,0.58
1,BA,3/11/2011,71.6,72.5,69.91,71.64,25556296,0.0558659,71.17,69.1,-2.90853,61,0.59
1,BA,3/18/2011,71.17,71.23,67.34,69.1,29746370,-2.90853,70.29,73.34,4.33917,54,0.61
1,BA,3/25/2011,70.29,73.5,70.03,73.34,24423545,4.33917,73.5,74.01,0.693878,47,0.57
1,BAC,1/7/2011,13.85,14.69,13.8,14.25,1453438639,2.88809,14.17,15.25,7.62174,54,0.07
1,BAC,1/14/2011,14.17,15.25,14.09,15.25,760935694,7.62174,15.08,14.25,-5.50398,47,0.07
1,BAC,1/21/2011,15.08,15.16,13.94,14.25,982445809,-5.50398,14.25,13.6,-4.5614,40,0.07
1,BAC,1/28/2011,14.25,14.26,13.4,13.6,1054415375,-4.5614,13.71,14.29,4.23049,33,0.07
1,BAC,2/4/2011,13.71,14.47,13.64,14.29,757192224,4.23049,14.51,14.77,1.79187,26,0.07
1,BAC,2/11/2011,14.51,14.87,14.35,14.77,746465458,1.79187,14.77,14.75,-0.13541,19,0.07
1,BAC,2/18/2011,14.77,14.95,14.69,14.75,458423511,-0.13541,14.38,14.2,-1.25174,12,0.07
1,BAC,2/25/2011,14.38,14.52,13.79,14.2,712456757,-1.25174,14.27,14.12,-1.05116,5,0.07
1,BAC,3/4/2011,14.27,14.48,13.81,14.12,699671790,-1.05116,14.18,14.38,1.41044,89,0.07
1,BAC,3/11/2011,14.18,14.7,13.92,14.38,805210688,1.41044,14.26,14.04,-1.54278,82,0.07
1,BAC,3/18/2011,14.26,14.35,13.66,14.04,792380862,-1.54278,14.2,13.34,-6.05634,75,0.07
1,BAC,3/25/2011,14.2,14.22,13.32,13.34,717678994,-6.05634,13.42,13.37,-0.372578,68,0.07
1,CAT,1/7/2011,94.38,94.81,92.3,93.73,24135903,-0.688705,93.21,94.01,0.858277,11,0.47
1,CAT,1/14/2011,93.21,94.7,92.51,94.01,19707235,0.858277,94.16,92.75,-1.49745,4,0.47
1,CAT,1/21/2011,94.16,96.8,92.37,92.75,28651009,-1.49745,92.71,95.68,3.20354,89,0.47
1,CAT,1/28/2011,92.71,97.79,92.51,95.68,34929068,3.20354,96.13,99.59,3.59929,82,0.46
1,CAT,2/4/2011,96.13,99.72,95.85,99.59,31169285,3.59929,99.62,103.54,3.93495,75,0.44
1,CAT,2/11/2011,99.62,103.55,98.75,103.54,27632394,3.93495,103.56,105.86,2.22093,68,0.42
1,CAT,2/18/2011,103.56,105.86,102.01,105.86,16331886,2.22093,104.86,102,-2.72745,61,0.42
1,CAT,2/25/2011,104.86,105.3,98.03,102,28146727,-2.72745,102.72,103.04,0.311526,54,0.43
1,CAT,3/4/2011,102.72,104.43,99.35,103.04,29851515,0.311526,103.42,100.02,-3.28757,47,0.43
1,CAT,3/11/2011,103.42,104.45,97.01,100.02,38614049,-3.28757,102.59,105.06,2.40764,40,0.44
1,CAT,3/18/2011,102.59,105.64,98.55,105.06,54195667,2.40764,106.9,109.09,2.04864,33,0.42
1,CAT,3/25/2011,106.9,110.15,105.64,109.09,37837456,2.04864,109.54,113.12,3.26821,26,0.4
1,CSCO,1/7/2011,20.45,21,20.38,20.97,303545878,2.54279,20.94,21.21,1.2894,81,0.29
1,CSCO,1/14/2011,20.94,21.23,20.7,21.21,154708263,1.2894,21.22,20.72,-2.35627,74,0.28
1,CSCO,1/21/2011,21.22,21.33,20.5,20.72,193706863,-2.35627,20.84,20.93,0.431862,67,0.29
1,CSCO,1/28/2011,20.84,21.61,20.73,20.93,265687272,0.431862,20.93,22.05,5.35117,60,0.29
1,CSCO,2/4/2011,20.93,22.15,20.71,22.05,236334561,5.35117,22.11,18.7,-15.4229,53,0.27
1,CSCO,2/11/2011,22.11,22.34,18.61,18.7,1000362015,-15.4229,18.84,18.85,0.0530786,46,0.32
1,CSCO,2/18/2011,18.84,18.95,18.56,18.85,390258123,0.0530786,18.73,18.64,-0.480513,39,0.32
1,CSCO,2/25/2011,18.73,18.74,18.23,18.64,285212201,-0.480513,18.62,18.4,-1.18153,32,0.32
1,CSCO,3/4/2011,18.62,18.79,18.31,18.4,302059981,-1.18153,18.36,17.95,-2.23312,25,0.33
1,CSCO,3/11/2011,18.36,18.37,17.76,17.95,311209442,-2.23312,17.81,17.14,-3.76193,18,0.33
1,CSCO,3/18/2011,17.81,17.88,16.97,17.14,444161658,-3.76193,17.34,17.28,-0.346021,11,0.35
1,CSCO,3/25/2011,17.34,17.64,17.2,17.28,284574143,-0.346021,17.36,17.04,-1.84332,4,0.35
1,CVX,1/7/2011,91.66,92.48,90.27,91.19,35556288,-0.512765,90.95,92.83,2.06707,38,0.79
1,CVX,1/14/2011,90.95,92.85,90.12,92.83,28260512,2.06707,92.94,93.78,0.903809,31,0.78
1,CVX,1/21/2011,92.94,93.94,91.58,93.78,27752622,0.903809,93.89,93.37,-0.55384,24,0.77
1,CVX,1/28/2011,93.89,94.97,92.93,93.37,42303108,-0.55384,93.85,97.11,3.47363,17,0.77
1,CVX,2/4/2011,93.85,97.44,93.37,97.11,48766293,3.47363,97.28,96.45,-0.853207,10,0.74
1,CVX,2/11/2011,97.28,98.23,95.7,96.45,38838595,-0.853207,95.5,98.72,3.37173,3,0.75
1,CVX,2/18/2011,95.5,98.72,95.5,98.72,28037827,3.37173,99.23,102.1,2.89227,89,0.74
1,CVX,2/25/2011,99.23,103.94,99.23,102.1,57897831,2.89227,102.28,103.75,1.43723,82,0.71
1,CVX,3/4/2011,102.28,104.99,102.18,103.75,48214502,1.43723,104.12,99.93,-4.0242,75,0.7
1,CVX,3/11/2011,104.12,104.77,97.6,99.93,43673568,-4.0242,99.16,102.8,3.67084,68,0.73
1,CVX,3/18/2011,99.16,103.97,97.98,102.8,56186791,3.67084,103.86,106.78,2.81148,61,0.71
1,CVX,3/25/2011,103.86,107.01,103.2,106.78,39606692,2.81148,106.4,108.32,1.80451,54,0.68
1,DD,1/7/2011,50.05,50.54,49.28,49.76,27658789,-0.579421,48.3,49.8,3.10559,35,0.82
1,DD,1/14/2011,48.3,49.8,47.2,49.8,34546875,3.10559,49.53,48.35,-2.38239,28,0.82
1,DD,1/21/2011,49.53,50.14,47.65,48.35,25611091,-2.38239,48.44,50.29,3.81916,21,0.85
1,DD,1/28/2011,48.44,50.66,48.26,50.29,45429653,3.81916,50.15,52.53,4.74576,14,0.82
1,DD,2/4/2011,50.15,52.63,50.09,52.53,31069977,4.74576,52.62,54.58,3.72482,7,0.78
1,DD,2/11/2011,52.62,54.75,52.51,54.58,37155830,3.72482,54.44,55.98,2.8288,0,0.75
1,DD,2/18/2011,54.44,55.98,53.8,55.98,27705910,2.8288,54.95,54.07,-1.60146,82,0.73
1,DD,2/25/2011,54.95,55.3,52.36,54.07,33190716,-1.60146,54.22,53.87,-0.645518,75,0.76
1,DD,3/4/2011,54.22,54.95,52.76,53.87,32958368,-0.645518,54.1,52.9,-2.21811,68,0.76
1,DD,3/11/2011,54.1,54.49,51.82,52.9,27091813,-2.21811,53.18,52.99,-0.357277,61,0.78
1,DD,3/18/2011,53.18,53.5,51.1,52.99,39779608,-0.357277,53.8,54.1,0.557621,54,0.77
1,DD,3/25/2011,53.8,54.64,52.89,54.1,24464568,0.557621,54.11,55.19,1.99593,47,0.76
1,DIS,1/7/2011,37.74,40,37.62,39.45,72917621,4.531,39.01,39.29,0.717765,336,1.01
1,DIS,1/14/2011,39.01,39.81,38.92,39.29,31943413,0.717765,39.07,39.74,1.71487,329,1.02
1,DIS,1/21/2011,39.07,39.94,38.51,39.74,36187032,1.71487,39.64,38.85,-1.99294,322,1.01
1,DIS,1/28/2011,39.64,39.95,38.65,38.85,42131642,-1.99294,39.04,40.71,4.27766,315,1.03
1,DIS,2/4/2011,39.04,40.77,38.64,40.71,53521486,4.27766,40.8,43.41,6.39706,308,0.98
1,DIS,2/11/2011,40.8,44.05,40.71,43.41,83975520,6.39706,43.19,43.56,0.85668,301,0.92
1,DIS,2/18/2011,43.19,43.9,42.98,43.56,33868302,0.85668,42.83,42.95,0.280177,294,0.92
1,DIS,2/25/2011,42.83,43.28,41.6,42.95,56966763,0.280177,43.02,43.55,1.23199,287,0.93
1,DIS,3/4/2011,43.02,44.34,42.97,43.55,53096584,1.23199,43.53,42.93,-1.37836,280,0.92
1,DIS,3/11/2011,43.53,43.61,42.16,42.93,41229388,-1.37836,42.64,41.23,-3.30675,273,0.93
1,DIS,3/18/2011,42.64,42.67,40.42,41.23,65060004,-3.30675,41.46,42.97,3.64206,266,0.97
1,DIS,3/25/2011,41.46,43.24,40.87,42.97,40696371,3.64206,43.19,42.85,-0.787219,259,0.93
1,GE,1/7/2011,18.49,18.72,18.12,18.43,280146510,-0.3245,18.61,18.82,1.12843,38,0.76
1,GE,1/14/2011,18.61,18.82,18.46,18.82,215626229,1.12843,18.98,19.74,4.00421,31,0.74
1,GE,1/21/2011,18.98,19.97,18.17,19.74,449508777,4.00421,19.93,20.2,1.35474,24,0.71
1,GE,1/28/2011,19.93,20.74,19.74,20.2,437317986,1.35474,20.13,20.56,2.13612,17,0.69
1,GE,2/4/2011,20.13,20.96,20.1,20.56,246591055,2.13612,20.77,21.33,2.6962,10,0.68
1,GE,2/11/2011,20.77,21.44,20.73,21.33,252254376,2.6962,21.51,21.44,-0.32543,3,0.66
1,GE,2/18/2011,21.51,21.65,21.24,21.44,158691572,-0.32543,20.88,20.82,-0.287356,118,0.65
1,GE,2/25/2011,20.88,21.21,20.08,20.82,268500170,-0.287356,20.95,20.37,-2.7685,111,0.67
1,GE,3/4/2011,20.95,21.17,20.16,20.37,261175412,-2.7685,20.4,20.36,-0.196078,104,0.69
1,GE,3/11/2011,20.4,20.79,19.94,20.36,303566341,-0.196078,19.96,19.25,-3.55711,97,0.69
1,GE,3/18/2011,19.96,20.09,18.6,19.25,520516218,-3.55711,19.68,19.75,0.355691,90,0.73
1,GE,3/25/2011,19.68,19.93,19.25,19.75,227819072,0.355691,19.81,20.34,2.67542,83,0.71
1,HD,1/7/2011,35.2,35.57,34.18,34.38,56576860,-2.32955,34.16,35.89,5.0644,60,0.73
1,HD,1/14/2011,34.16,35.89,34.07,35.89,41918450,5.0644,35.97,36.51,1.50125,53,0.7
1,HD,1/21/2011,35.97,36.99,35.48,36.51,45249920,1.50125,36.46,36.7,0.658256,46,0.68
1,HD,1/28/2011,36.46,38.12,36.3,36.7,63397367,0.658256,37.13,36.8,-0.888769,39,0.68
1,HD,2/4/2011,37.13,37.18,36.38,36.8,41844858,-0.888769,36.8,37.48,1.84783,32,0.68
1,HD,2/11/2011,36.8,37.48,36.41,37.48,36079400,1.84783,37.47,38.48,2.69549,25,0.67
1,HD,2/18/2011,37.47,38.48,37.27,38.48,30619613,2.69549,39.3,37.08,-5.64885,18,0.65
1,HD,2/25/2011,39.3,39.38,36.78,37.08,54816070,-5.64885,37.15,37.22,0.188425,11,0.67
1,HD,3/4/2011,37.15,37.86,36.33,37.22,49763519,0.188425,37.26,37.14,-0.322061,4,0.67
1,HD,3/11/2011,37.26,37.78,36.54,37.14,49156185,-0.322061,36.92,36,-2.49187,95,0.67
1,HD,3/18/2011,36.92,36.94,35.43,36,52758908,-2.49187,36.29,37.42,3.11381,88,0.69
1,HD,3/25/2011,36.29,37.82,36.03,37.42,40337534,3.11381,37.46,37.56,0.266951,81,0.67
1,HPQ,1/7/2011,42.22,45.39,42.22,45.09,100020724,6.79773,44.86,46.25,3.09853,66,0.18
1,HPQ,1/14/2011,44.86,46.25,44.57,46.25,65464211,3.09853,46.14,47.23,2.36238,59,0.17
1,HPQ,1/21/2011,46.14,47.64,45.76,47.23,82623453,2.36238,46.69,45.51,-2.52731,52,0.17
1,HPQ,1/28/2011,46.69,47.83,45.36,45.51,84066350,-2.52731,45.41,47.43,4.44836,45,0.18
1,HPQ,2/4/2011,45.41,47.52,45.13,47.43,74475624,4.44836,47.71,48.64,1.94928,38,0.17
1,HPQ,2/11/2011,47.71,49.39,47.61,48.64,84089936,1.94928,48.45,48.67,0.454076,31,0.16
1,HPQ,2/18/2011,48.45,49.12,47.54,48.67,49401750,0.454076,47.57,42.68,-10.2796,24,0.16
1,HPQ,2/25/2011,47.57,48.55,42.08,42.68,211147488,-10.2796,43.06,42.61,-1.04505,17,0.19
1,HPQ,3/4/2011,43.06,43.85,42.06,42.61,110702335,-1.04505,42.9,41.73,-2.72727,10,0.19
1,HPQ,3/11/2011,42.9,43.05,41.26,41.73,85140794,-2.72727,41.31,41.32,0.0242072,3,0.19
1,HPQ,3/18/2011,41.31,42.15,40.1,41.32,121051768,0.0242072,41.85,42.53,1.62485,87,0.31
1,HPQ,3/25/2011,41.85,43.28,41.35,42.53,78089358,1.62485,42.42,40.98,-3.39463,80,0.31
1,IBM,1/7/2011,147.21,148.86,146.64,147.93,23492843,0.489097,147,150,2.04082,32,0.44
1,IBM,1/14/2011,147,150,146,150,15335348,2.04082,149.82,155.5,3.79122,25,0.43
1,IBM,1/21/2011,149.82,156.78,149.38,155.5,35770931,3.79122,155.42,159.21,2.43855,18,0.42
1,IBM,1/28/2011,155.42,164.35,155.33,159.21,32510483,2.43855,159.18,164,3.02802,11,0.41
1,IBM,2/4/2011,159.18,164.2,158.68,164,25377163,3.02802,164.08,163.85,-0.140176,4,0.4
1,IBM,2/11/2011,164.08,166.25,163.18,163.85,26106753,-0.140176,164.18,164.84,0.401998,84,0.46
1,IBM,2/18/2011,164.18,164.84,162.52,164.84,14352613,0.401998,163.57,162.28,-0.788653,77,0.45
1,IBM,2/25/2011,163.57,164.26,159.03,162.28,21443811,-0.788653,162.36,161.83,-0.326435,70,0.46
1,IBM,3/4/2011,162.36,164.31,159.41,161.83,21549118,-0.326435,161.6,162.43,0.513614,63,0.46
1,IBM,3/11/2011,161.6,167.72,158.85,162.43,31119857,0.513614,161.16,155.89,-3.27004,56,0.46
1,IBM,3/18/2011,161.16,161.98,151.71,155.89,41827781,-3.27004,157.64,162.18,2.87998,49,0.48
1,IBM,3/25/2011,157.64,162.74,157.07,162.18,25381792,2.87998,161.54,164.27,1.68998,42,0.46
1,INTC,1/7/2011,21.01,21.21,20.27,20.66,386719626,-1.66587,20.71,21.08,1.78658,27,0.87
1,INTC,1/14/2011,20.71,21.33,20.57,21.08,274111012,1.78658,21.03,20.82,-0.998573,20,0.85
1,INTC,1/21/2011,21.03,21.2,20.62,20.82,218479469,-0.998573,21.03,21.46,2.0447,13,0.86
1,INTC,1/28/2011,21.03,21.94,20.93,21.46,325168191,2.0447,21.55,21.68,0.603248,6,0.84
1,INTC,2/4/2011,21.55,21.71,21.03,21.68,277969054,0.603248,21.74,21.76,0.0919963,89,0.83
1,INTC,2/11/2011,21.74,21.86,21.35,21.76,236842359,0.0919963,21.63,22.14,2.35784,82,0.83
1,INTC,2/18/2011,21.63,22.14,21.28,22.14,201181541,2.35784,21.95,21.86,-0.410023,75,0.81
1,INTC,2/25/2011,21.95,22.19,21.01,21.86,256135777,-0.410023,21.75,21.56,-0.873563,68,0.82
1,INTC,3/4/2011,21.75,22.08,21.35,21.56,291751623,-0.873563,21.69,20.87,-3.78054,61,0.83
1,INTC,3/11/2011,21.69,21.74,20.61,20.87,289874871,-3.78054,20.66,19.93,-3.5334,54,0.86
1,INTC,3/18/2011,20.66,20.88,19.71,19.93,347426088,-3.5334,19.9,20.37,2.36181,47,0.9
1,INTC,3/25/2011,19.9,20.6,19.88,20.37,229150771,2.36181,20.44,19.72,-3.5225,40,0.88
1,JNJ,1/7/2011,62.63,63.54,62.53,62.6,57774737,-0.0479004,62.29,62.55,0.417402,49,0.86
1,JNJ,1/14/2011,62.29,62.98,62,62.55,34950419,0.417402,62.21,62.66,0.723356,42,0.86
1,JNJ,1/21/2011,62.21,63.25,62.01,62.66,47999880,0.723356,62.56,60.01,-4.07609,35,0.86
1,JNJ,1/28/2011,62.56,62.72,60,60.01,86229071,-4.07609,60.16,60.84,1.13032,28,0.9
1,JNJ,2/4/2011,60.16,60.99,59.69,60.84,63641929,1.13032,60.88,60.7,-0.295664,21,0.89
1,JNJ,2/11/2011,60.88,61.17,60.42,60.7,42897125,-0.295664,60.69,61.11,0.692042,14,0.89
1,JNJ,2/18/2011,60.69,61.11,60.33,61.11,33273371,0.692042,60.68,59.64,-1.71391,7,0.88
1,JNJ,2/25/2011,60.68,61.08,59.36,59.64,46786798,-1.71391,59.93,61.06,1.88553,0,0.91
1,JNJ,3/4/2011,59.93,61.5,59.77,61.06,63576642,1.88553,61.09,59.69,-2.2917,83,0.93
1,JNJ,3/11/2011,61.09,61.1,59.11,59.69,53844149,-2.2917,59.49,58.57,-1.54648,76,0.95
1,JNJ,3/18/2011,59.49,59.49,57.5,58.57,71716802,-1.54648,58.67,58.98,0.528379,69,0.97
1,JNJ,3/25/2011,58.67,59.16,58.5,58.98,47498000,0.528379,58.98,59.49,0.8647,62,0.97
1,JPM,1/7/2011,43,44.95,42.64,43.64,234547885,1.48837,43.27,44.91,3.79015,87,0.57
1,JPM,1/14/2011,43.27,44.97,43,44.91,144662779,3.79015,45.02,45.29,0.599733,80,0.56
1,JPM,1/21/2011,45.02,45.54,43.6,45.29,182971761,0.599733,45.21,44.54,-1.48197,73,0.55
1,JPM,1/28/2011,45.21,45.88,44.26,44.54,154832501,-1.48197,44.41,44.59,0.405314,66,0.56
1,JPM,2/4/2011,44.41,46,44.3,44.59,137430065,0.405314,44.75,46.57,4.06704,59,0.56
1,JPM,2/11/2011,44.75,46.89,44.65,46.57,162434145,4.06704,46,48,4.34783,52,0.54
1,JPM,2/18/2011,46,48,46,48,131941706,4.34783,47.2,46.68,-1.10169,45,0.52
1,JPM,2/25/2011,47.2,47.27,45.21,46.68,139540125,-1.10169,46.81,45.52,-2.75582,38,0.54
1,JPM,3/4/2011,46.81,47.18,45.07,45.52,139051830,-2.75582,45.62,45.74,0.263043,31,0.55
1,JPM,3/11/2011,45.62,47.1,44.76,45.74,140414285,0.263043,45.42,45.74,0.704535,24,0.55
1,JPM,3/18/2011,45.42,46.18,43.4,45.74,226413618,0.704535,46.28,45.86,-0.907519,17,0.55
1,JPM,3/25/2011,46.28,46.38,44.77,45.86,117959443,-0.907519,46.1,46.35,0.542299,10,0.55
1,KRFT,1/7/2011,31.76,31.76,31.14,31.19,44971770,-1.79471,30.91,31.34,1.39114,81,0.93
1,KRFT,1/14/2011,30.91,31.72,30.89,31.34,24955086,1.39114,31.41,31.35,-0.191022,74,0.93
1,KRFT,1/21/2011,31.41,31.52,30.89,31.35,41200255,-0.191022,31.39,30.53,-2.73973,67,0.93
1,KRFT,1/28/2011,31.39,31.77,30.5,30.53,55657855,-2.73973,30.53,31.19,2.16181,60,0.95
1,KRFT,2/4/2011,30.53,31.22,30.21,31.19,34764359,2.16181,31.18,30.66,-1.66774,53,0.93
1,KRFT,2/11/2011,31.18,31.25,30.24,30.66,65912258,-1.66774,30.67,30.91,0.782524,46,0.95
1,KRFT,2/18/2011,30.67,30.93,30.26,30.91,38172345,0.782524,30.72,31.71,3.22266,39,0.94
1,KRFT,2/25/2011,30.72,32.2,30.66,31.71,50462721,3.22266,31.82,31.58,-0.754243,32,0.91
1,KRFT,3/4/2011,31.82,31.88,31.28,31.58,55211152,-0.754243,31.56,31.7,0.443599,25,0.92
1,KRFT,3/11/2011,31.56,31.79,31.18,31.7,41766976,0.443599,31.51,30.99,-1.65027,18,0.91
1,KRFT,3/18/2011,31.51,31.6,30.45,30.99,51736270,-1.65027,30.78,31.26,1.55945,11,0.94
1,KRFT,3/25/2011,30.78,31.49,30.43,31.26,41958399,1.55945,31.35,31.61,0.829346,4,0.93
1,KO,1/7/2011,65.88,65.88,62.56,62.92,59802189,-4.49302,62.7,63.13,0.685805,63,0.75
1,KO,1/14/2011,62.7,63.86,62.56,63.13,31297830,0.685805,63.21,62.77,-0.696092,56,0.74
1,KO,1/21/2011,63.21,63.92,62.72,62.77,36000586,-0.696092,62.87,62.21,-1.04979,49,0.75
